trace,time,uid,subtype,type,amount,ncalls,snapshots
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,E Mean,time,1.0568552,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,I Min,time,543259.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,E Min,time,543259.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,I Max,time,1899634.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,E Max,time,1899634.0,5,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Callees [#],time,0.0,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Callees Mean [#],time,0.0,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Total Inclusive T [ms],time,3.426514,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Total Inclusive T [%],time,0.0003358646280635426,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Total Exclusive T [ms],time,3.426514,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Total Exclusive T [%],time,0.0003358646280635426,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Total Morestack T [ms],time,0.0,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,Total Morestack T [%],time,0.0,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,I Mean,time,3.426514,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,E Mean,time,3.426514,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,I Min,time,3426514.0,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,E Min,time,3426514.0,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,I Max,time,3426514.0,1,0
"main.main,main.add",10202068672,main.getCurrentCPUID,E Max,time,3426514.0,1,0
main.main,10202068672,main.getGoroutineID,Callees [#],time,0.0,1,0
main.main,10202068672,main.getGoroutineID,Callees Mean [#],time,0.0,1,0
main.main,10202068672,main.getGoroutineID,Total Inclusive T [ms],time,2.008616,1,0
main.main,10202068672,main.getGoroutineID,Total Inclusive T [%],time,0.0001968832071786313,1,0
main.main,10202068672,main.getGoroutineID,Total Exclusive T [ms],time,2.008616,1,0
main.main,10202068672,main.getGoroutineID,Total Exclusive T [%],time,0.0001968832071786313,1,0
main.main,10202068672,main.getGoroutineID,Total Morestack T [ms],time,0.0,1,0
main.main,10202068672,main.getGoroutineID,Total Morestack T [%],time,0.0,1,0
main.main,10202068672,main.getGoroutineID,I Mean,time,2.008616,1,0
main.main,10202068672,main.getGoroutineID,E Mean,time,2.008616,1,0
main.main,10202068672,main.getGoroutineID,I Min,time,2008616.0,1,0
main.main,10202068672,main.getGoroutineID,E Min,time,2008616.0,1,0
main.main,10202068672,main.getGoroutineID,I Max,time,2008616.0,1,0
main.main,10202068672,main.getGoroutineID,E Max,time,2008616.0,1,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Callees [#],time,0.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Callees Mean [#],time,0.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Inclusive T [ms],time,1.861814,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Inclusive T [%],time,0.00018249377257279455,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Exclusive T [ms],time,1.861814,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Exclusive T [%],time,0.00018249377257279455,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Morestack T [ms],time,3.411604,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Morestack T [%],time,0.00033440315975947983,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,I Mean,time,0.3723628,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,E Mean,time,0.3723628,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,I Min,time,134319.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,E Min,time,134319.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,I Max,time,648695.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getCurrentCPUID,E Max,time,648695.0,5,0
main.main,10202068672,main.getThreadID,Callees [#],time,0.0,1,0
main.main,10202068672,main.getThreadID,Callees Mean [#],time,0.0,1,0
main.main,10202068672,main.getThreadID,Total Inclusive T [ms],time,0.392759,1,0
main.main,10202068672,main.getThreadID,Total Inclusive T [%],time,3.8497976501368137e-05,1,0
main.main,10202068672,main.getThreadID,Total Exclusive T [ms],time,0.392759,1,0
main.main,10202068672,main.getThreadID,Total Exclusive T [%],time,3.8497976501368137e-05,1,0
main.main,10202068672,main.getThreadID,Total Morestack T [ms],time,0.0,1,0
main.main,10202068672,main.getThreadID,Total Morestack T [%],time,0.0,1,0
main.main,10202068672,main.getThreadID,I Mean,time,0.392759,1,0
main.main,10202068672,main.getThreadID,E Mean,time,0.392759,1,0
main.main,10202068672,main.getThreadID,I Min,time,392759.0,1,0
main.main,10202068672,main.getThreadID,E Min,time,392759.0,1,0
main.main,10202068672,main.getThreadID,I Max,time,392759.0,1,0
main.main,10202068672,main.getThreadID,E Max,time,392759.0,1,0
main.main,10202068672,main.getCurrentCPUID,Callees [#],time,0.0,1,0
main.main,10202068672,main.getCurrentCPUID,Callees Mean [#],time,0.0,1,0
main.main,10202068672,main.getCurrentCPUID,Total Inclusive T [ms],time,0.342649,1,0
main.main,10202068672,main.getCurrentCPUID,Total Inclusive T [%],time,3.358622755994717e-05,1,0
main.main,10202068672,main.getCurrentCPUID,Total Exclusive T [ms],time,0.342649,1,0
main.main,10202068672,main.getCurrentCPUID,Total Exclusive T [%],time,3.358622755994717e-05,1,0
main.main,10202068672,main.getCurrentCPUID,Total Morestack T [ms],time,0.0,1,0
main.main,10202068672,main.getCurrentCPUID,Total Morestack T [%],time,0.0,1,0
main.main,10202068672,main.getCurrentCPUID,I Mean,time,0.342649,1,0
main.main,10202068672,main.getCurrentCPUID,E Mean,time,0.342649,1,0
main.main,10202068672,main.getCurrentCPUID,I Min,time,342649.0,1,0
main.main,10202068672,main.getCurrentCPUID,E Min,time,342649.0,1,0
main.main,10202068672,main.getCurrentCPUID,I Max,time,342649.0,1,0
main.main,10202068672,main.getCurrentCPUID,E Max,time,342649.0,1,0
